detector_index,slope_MeV_per_channel,intercept_MeV,cv_error_MeV,r_squared,n_calibration_points,p_value,std_error,quality_flag
33,0.0011658498669406899,-0.11760760677680304,0.01203115447918493,0.9996570609784162,4,0.0001714842142097606,1.526899886827943e-05,good
34,0.0011283393574806474,-0.10994923950423985,0.010049915637557527,0.9997872249655019,4,0.00010639317700311682,1.1639418464562745e-05,good
35,0.0011209002075810016,-0.10709346488472127,0.006512748082223352,0.9999087211788324,4,4.564045210919689e-05,7.572805193294452e-06,good
36,0.001104732560179627,-0.11163692922745727,0.009919064574134051,0.9997570662123149,4,0.00012147427184194814,1.2176959904980496e-05,good
37,0.001157896471294713,-0.13167262534648105,0.07162009757196228,0.9854920105095155,4,0.007280497567658584,9.934174739646577e-05,good
38,0.0013763466700754186,-0.279515689633133,0.03769158350559537,0.9971401142152204,4,0.001430966725274208,5.212056191150757e-05,good
39,0.001104796870471946,-0.10506810127463995,0.007608437041790123,0.9998366748013484,4,8.166593398817315e-05,9.984573161121352e-06,good
40,0.0011317782567462711,-0.11930771687214392,0.01002810773641527,0.9997016883986195,4,0.00014916692607613857,1.382439732470173e-05,good
41,0.0011218128008325745,-0.10933052556263823,0.00942812526718595,0.9998067495158792,4,9.662991073022824e-05,1.1028276767117965e-05,good
42,0.0011137045093773884,-0.11081296666470686,0.016323726769645525,0.9993522193794239,4,0.0003239427797503414,2.0049782476950923e-05,good
43,0.0012221510775336784,-0.10438491412630535,0.011775972401120799,0.9995281680084341,4,0.0002359438305284956,1.87761294307788e-05,good
44,0.0011781523606416995,-0.10880432038940158,0.006583361195660553,0.9999084996213286,4,4.575123592354124e-05,7.969255954346864e-06,good
45,0.0011696330531462697,-0.09700454522846635,0.004549754595233583,0.999989108500566,3,0.002100993689396354,3.860075812690698e-06,good
46,0.0012165922144224631,-0.09273813018506694,0.01861005290988521,0.9987716833384311,4,0.0006143470419284203,3.016838737827756e-05,good
47,0.0010496245868603855,0.04976153782059822,0.06327875498603482,0.9984030901913971,3,0.025446963865801826,4.197795051040245e-05,good
48,0.001218604930126552,-0.10446418760870868,0.012984792712020798,0.9995811254155712,4,0.0002094592287986697,1.763928245178187e-05,good
49,0.0011717747778385653,-0.10646704321982536,0.010851169450425219,0.9997266463937349,4,0.00013668614468365092,1.3700957458400986e-05,good
50,0.0012037513143484731,-0.10072548759598243,0.004736590306199828,0.999954181106395,4,2.290970922991244e-05,5.761744888074724e-06,good
51,0.0011675022749288169,-0.10448199283764348,0.008390079977504572,0.9998308308668221,4,8.458814416600903e-05,1.0738411378506683e-05,good
52,0.0011829567513473758,-0.10737350341817486,0.012122638613815712,0.9996171155813873,4,0.00019146053787511002,1.637083661607059e-05,good
53,0.0011997725628998463,-0.09945707647979463,0.011578934753550402,0.9995714055102947,4,0.00021432021142919755,1.7567109478128135e-05,good
54,0.0009376629547653572,0.038058385507582004,0.056125615350692014,0.9987061182382854,3,0.02290451590860024,3.375011046210988e-05,good
55,0.0011717233548020796,-0.10583621209701755,0.012076954844302878,0.9996714205376592,4,0.00016430322894589458,1.5021097245007003e-05,good
56,0.0011564932988844436,-0.09772936306998381,0.00958469544166582,0.9998143233188019,4,9.284265047793119e-05,1.1144154597176263e-05,good
57,0.0010019060952878964,0.033578052915229306,0.05962758461049892,0.9985605522022224,3,0.024159187729411703,3.80397606661974e-05,good
58,0.0012207318651860297,-0.08915897174477094,0.025679639844663704,0.9976380835321849,4,0.0011816563898193744,4.200016927997032e-05,good
59,0.0012209584187954502,-0.09392452918142813,0.02116972268422776,0.998423285446195,4,0.0007886682757271001,3.430876328987408e-05,good
60,0.0010069209605015458,0.040913094031363895,0.05799050734774169,0.9986292864428314,3,0.023575056516308163,3.730496066285924e-05,good
61,0.0011913845909315988,-0.10038382524651701,0.008488682013475218,0.9998587812595044,4,7.061186326540182e-05,1.0011838034272393e-05,good
62,0.0011882575089547972,-0.10008668517426123,0.008457690207090834,0.9998338557130569,4,8.307559424869383e-05,1.0831144663918918e-05,good
63,0.0011707296973839096,-0.024480088818393253,0.07800137637180252,0.975868876162385,4,0.012139242523327543,0.00013017712562695175,good
64,0.001139276157077123,-0.039881248101860445,0.0783392794806198,0.9754229288775953,4,0.012364981950520713,0.00012787410106883967,good
65,0.0012348444182855884,-0.10944926711818082,0.0219150551583564,0.9985122884697369,4,0.0007441326318183836,3.370388021589137e-05,good
66,0.001228859711700602,-0.1093839339096283,0.015563373208126036,0.9993008794962998,4,0.0003496213694010874,2.298344855562923e-05,good
67,0.0012355420060446037,-0.11095649103515481,0.023857315541054136,0.9983826878712905,4,0.0008089832913376062,3.5163404634509576e-05,good
68,0.0012254926080468218,-0.10319808880702586,0.019973121534607813,0.9989422081832724,4,0.0005290358478279299,2.8198474732400834e-05,good
69,0.0011567700343624355,-0.03984478096068722,0.07776951844297456,0.9761881502654476,4,0.011977657000891708,0.00012775027182886927,good
70,0.001135471706698366,-0.0434945355735159,0.07626342816525464,0.9761703189363583,4,0.011986680790001538,0.0001254462359988099,good
71,0.0011675057517932061,-0.04669350385708482,0.07760771181656578,0.9758732219137223,4,0.012137042948910713,0.0001298066659406337,good
72,0.0010102912299456068,0.02799626994720772,0.05689661164765821,0.9986745463819112,3,0.023182399016032747,3.680585069176343e-05,good
73,0.0012168520577975806,-0.08291503055295935,0.03284031678455002,0.996949854981517,4,0.001526237209250936,4.759336040238594e-05,good
74,0.0011488903533199007,-0.041647890198777016,0.08003416556446286,0.974678389446145,4,0.012741984359638133,0.00013094188213101388,good
75,0.0011286674114031861,-0.04139946654555904,0.07849187774227381,0.975391867625082,4,0.012380707142128574,0.00012676540544104454,good
76,0.0012217155660422848,-0.10982364882458273,0.009825987914373197,0.9997487368478762,4,0.00012563946869992293,1.3695379759298476e-05,good
77,0.001125268507142081,-0.030913985774345232,0.07245293545992865,0.9785838428758005,4,0.010766032287709783,0.00011770988038492527,good
78,0.0011715145968257624,-0.04180621209871227,0.07974718753598317,0.9750922665338645,4,0.01253239722314714,0.00013239663744162215,good
79,0.0011454383457820102,-0.0404818954195425,0.07556763902921104,0.9765677770840585,4,0.011785561184183835,0.00012546201840111075,good
80,0.0011829528120696363,-0.0375758721522661,0.08027244243033302,0.9758010263383147,4,0.012173584915692424,0.0001317256230153081,good
81,0.0010385399396624355,0.031174163563721602,0.053159334959720105,0.9988249859748134,3,0.021826632451054432,3.5620501482905354e-05,good
82,0.0010787099213748319,0.03704972422515773,0.0656399379437284,0.9982983328201982,3,0.026268827098876953,4.453606186386933e-05,good
83,0.0014660194174757283,-0.07980582524271851,,1.0,2,0.0,0.0,poor
84,0.00151,-0.09602,,1.0,2,0.0,0.0,poor
85,0.0055925925925925934,-2.145481481481482,,1.0,2,0.0,0.0,poor
86,0.00151,-0.09602,,1.0,2,0.0,0.0,poor
87,0.0010755895534721835,0.028445842420628975,0.06371270130214775,0.9983840058659776,3,0.025598649376550646,4.327306509783366e-05,good
88,0.0010794405334221063,0.03294771033848043,0.06253484578530459,0.9984356265818752,3,0.02518625725649375,4.272763954519529e-05,good
89,0.0011638625382355647,-0.03989983460242863,0.07962342561402808,0.974720646463575,4,0.012720583389091876,0.0001325346974110723,good
90,0.001348214285714286,-0.06468750000000012,,1.0,2,0.0,0.0,poor
91,0.00151,-0.09602,,1.0,2,0.0,0.0,poor
92,0.0014803921568627453,-0.09596078431372557,,1.0,2,0.0,0.0,poor
93,0.0011743354939632593,-0.0514575341401613,0.08015084776690529,0.9747213875007361,4,0.012720208096642876,0.0001337252930192319,good
94,0.0011658611135923664,-0.045625675662488985,0.0794876515396401,0.974728851153152,4,0.012716428196461904,0.0001327401797847956,good
95,0.00101475460892284,0.027037325570329895,0.05808304290429567,0.9986254330068369,3,0.02360818627594217,3.7648066493211845e-05,good
96,0.001031233243967828,0.035418364611260356,0.06356559290382835,0.9983904840773847,3,0.025547260189406614,4.1405146650998265e-05,good
97,0.0014519230769230772,-0.10461538461538478,,1.0,2,0.0,0.0,poor
98,0.0012312937061509017,-0.11018806806254067,0.018128235242701518,0.9990850132009773,4,0.00045759809752077274,2.6348315412783293e-05,good
99,0.0012138942672643208,-0.10840107653879927,0.002818533812805585,0.9999840129286546,4,7.99356762126725e-06,3.432051457637413e-06,good
100,0.0012354458849369561,-0.10531691567026824,0.023546985765787648,0.9980137340660192,4,0.0009936266139143337,3.897258092411856e-05,good
101,0.001061159339827386,0.024747110483016366,0.06531340802295456,0.9983129522658964,3,0.026155678869818167,4.3622538382720875e-05,good
102,0.001178856168981446,-0.050180342818257895,0.079329396715908,0.9761847501753115,4,0.011979377656867182,0.00013019892068782867,good
103,0.0012237241657425144,-0.10692491985079133,0.01427138680349857,0.9994524752697327,4,0.0002737998483121062,2.025299868949323e-05,good
104,0.0010525964573588791,0.02979699493154664,0.06515426723369684,0.9983200621031325,3,0.02610047490531445,4.3179103217040866e-05,good
105,0.00115164627969481,-0.03991970470608186,0.07989503370872603,0.9753934680598477,4,0.012379896893624509,0.00012934194690528337,good
106,0.0010067046354682737,0.034360728694363796,0.0660568846975665,0.9982796044350614,3,0.026413070170133775,4.179170853396803e-05,good
107,0.0010718992772388203,0.045677095814169344,0.07966443584299994,0.9976340707094835,3,0.03097793069827754,5.219984606353588e-05,good
108,0.001220007166200543,-0.10198099273520422,0.011892720278850744,0.9995177164315316,4,0.00024117086592745363,1.894974492522405e-05,good
109,0.0010214111829704162,0.023793843024598083,0.06398494148129204,0.9983719940600462,3,0.025693663080053303,4.124605400496621e-05,good
110,0.0010794405334221063,0.037265472472168826,0.06253484578530466,0.9984356265818752,3,0.02518625725649375,4.272763954519529e-05,good
111,0.0012312197943318726,-0.10797169857561584,0.01870926947111068,0.9988679675088076,4,0.0005661765235240869,2.9308662115473944e-05,good
112,0.0011949737849597933,-0.09927017789326409,0.008512898670592906,0.9998567399660837,4,7.163258257159023e-05,1.0114327588132561e-05,good
113,0.0012271267478355108,-0.10670761612961033,0.015526192097630953,0.9992338847082645,4,0.00038313104056486564,2.4026356335794618e-05,good
